count,date,first,second,third,fourth,fifth,bornas
第1回,1999年4月13日,01,03,17,20,25,26
第2回,1999年4月27日,02,11,12,21,30,28
第3回,1999年5月11日,01,08,10,24,30,28
第4回,1999年5月25日,11,12,14,20,31,29
第5回,1999年6月8日,08,09,15,21,25,23
第6回,1999年6月22日,02,11,16,24,29,04
第7回,1999年7月6日,03,24,25,26,31,02
第8回,1999年7月20日,22,24,25,28,30,21
第9回,1999年8月3日,02,11,12,13,28,15
第10回,1999年8月17日,08,19,21,23,30,05
第11回,1999年8月31日,17,18,19,20,30,31
第12回,1999年9月14日,05,09,13,16,19,21
第13回,1999年9月28日,06,11,18,25,28,20
第14回,1999年10月5日,02,21,24,26,29,28
第15回,1999年10月12日,06,08,17,23,24,22
第16回,1999年10月19日,02,20,24,26,27,23
第17回,1999年10月26日,10,18,20,25,27,01
第18回,1999年11月2日,01,14,16,23,25,27
第19回,1999年11月9日,02,09,10,22,27,01
第20回,1999年11月16日,14,20,22,25,30,15
第1145回,2021年9月7日,11,14,20,28,31,12
第1146回,2021年9月14日,04,05,11,29,30,24
第1147回,2021年9月21日,06,08,23,27,29,21
第1148回,2021年9月28日,01,03,06,15,19,10
第1145回,2021年9月7日,11,14,20,28,31,12
第1146回,2021年9月14日,04,05,11,29,30,24
第1147回,2021年9月21日,06,08,23,27,29,21
第1148回,2021年9月28日,01,03,06,15,19,10
第1149回,2021年10月5日,05,12,14,15,20,07
第1150回,2021年10月12日,01,10,13,27,29,14
第1151回,2021年10月19日,14,18,21,30,31,09
第1152回,2021年10月26日,02,12,14,23,27,21
第1145回,2021年9月7日,11,14,20,28,31,12
第1146回,2021年9月14日,04,05,11,29,30,24
第1147回,2021年9月21日,06,08,23,27,29,21
第1148回,2021年9月28日,01,03,06,15,19,10
第1149回,2021年10月5日,05,12,14,15,20,07
第1150回,2021年10月12日,01,10,13,27,29,14
第1151回,2021年10月19日,14,18,21,30,31,09
第1152回,2021年10月26日,02,12,14,23,27,21
第1153回,2021年11月2日,17,25,27,29,30,15
第1154回,2021年11月9日,09,10,12,21,24,27
第1155回,2021年11月16日,01,09,13,16,19,18
第1156回,2021年11月23日,01,03,14,27,30,07
第1157回,2021年11月30日,02,06,07,13,30,17
第1145回,2021年9月7日,11,14,20,28,31,12
第1146回,2021年9月14日,04,05,11,29,30,24
第1147回,2021年9月21日,06,08,23,27,29,21
第1148回,2021年9月28日,01,03,06,15,19,10
第1149回,2021年10月5日,05,12,14,15,20,07
第1150回,2021年10月12日,01,10,13,27,29,14
第1151回,2021年10月19日,14,18,21,30,31,09
第1152回,2021年10月26日,02,12,14,23,27,21
第1153回,2021年11月2日,17,25,27,29,30,15
第1154回,2021年11月9日,09,10,12,21,24,27
第1155回,2021年11月16日,01,09,13,16,19,18
第1156回,2021年11月23日,01,03,14,27,30,07
第1157回,2021年11月30日,02,06,07,13,30,17
第1158回,2021年12月7日,01,14,23,25,26,29
第1159回,2021年12月14日,11,12,14,18,31,06
第1160回,2021年12月21日,07,19,22,24,31,21
第1161回,2021年12月28日,03,09,13,17,24,29
第1145回,2021年9月7日,11,14,20,28,31,12
第1146回,2021年9月14日,04,05,11,29,30,24
第1147回,2021年9月21日,06,08,23,27,29,21
第1148回,2021年9月28日,01,03,06,15,19,10
第1149回,2021年10月5日,05,12,14,15,20,07
第1150回,2021年10月12日,01,10,13,27,29,14
第1151回,2021年10月19日,14,18,21,30,31,09
第1152回,2021年10月26日,02,12,14,23,27,21
第1153回,2021年11月2日,17,25,27,29,30,15
第1154回,2021年11月9日,09,10,12,21,24,27
第1155回,2021年11月16日,01,09,13,16,19,18
第1156回,2021年11月23日,01,03,14,27,30,07
第1157回,2021年11月30日,02,06,07,13,30,17
第1158回,2021年12月7日,01,14,23,25,26,29
第1159回,2021年12月14日,11,12,14,18,31,06
第1160回,2021年12月21日,07,19,22,24,31,21
第1161回,2021年12月28日,03,09,13,17,24,29
第1162回,2022年1月4日,02,21,23,24,29,11
第1163回,2022年1月11日,02,09,11,22,29,03
第1164回,2022年1月18日,04,09,19,26,31,25
第1165回,2022年1月25日,05,13,16,27,31,24
