count,date,val1,val2,val3,val4,val5,bornas
第1回,1999年4月13日,01,03,17,20,25,26
第2回,1999年4月27日,02,11,12,21,30,28
第3回,1999年5月11日,01,08,10,24,30,28
第4回,1999年5月25日,11,12,14,20,31,29
第5回,1999年6月8日,08,09,15,21,25,23
第6回,1999年6月22日,02,11,16,24,29,04
第7回,1999年7月6日,03,24,25,26,31,02
第8回,1999年7月20日,22,24,25,28,30,21
第9回,1999年8月3日,02,11,12,13,28,15
第10回,1999年8月17日,08,19,21,23,30,05
第11回,1999年8月31日,17,18,19,20,30,31
第12回,1999年9月14日,05,09,13,16,19,21
第13回,1999年9月28日,06,11,18,25,28,20
第14回,1999年10月5日,02,21,24,26,29,28
第15回,1999年10月12日,06,08,17,23,24,22
第16回,1999年10月19日,02,20,24,26,27,23
第17回,1999年10月26日,10,18,20,25,27,01
第18回,1999年11月2日,01,14,16,23,25,27
第19回,1999年11月9日,02,09,10,22,27,01
第20回,1999年11月16日,14,20,22,25,30,15
第21回,1999年11月23日,03,15,22,25,31,06
第22回,1999年11月30日,04,06,26,28,30,14
第23回,1999年12月7日,02,13,18,22,26,15
第24回,1999年12月14日,12,14,19,26,28,15
第25回,1999年12月21日,02,03,07,18,29,15
第26回,1999年12月28日,07,08,09,14,15,04
第27回,2000年1月4日,10,16,20,21,31,14
第28回,2000年1月11日,02,09,15,22,29,11
第29回,2000年1月18日,09,12,17,26,31,15
第30回,2000年1月25日,10,15,17,18,30,16
第31回,2000年2月1日,14,20,21,24,28,17
第32回,2000年2月8日,02,11,13,16,24,20
第33回,2000年2月15日,02,03,08,09,30,23
第34回,2000年2月22日,04,09,18,28,29,12
第35回,2000年2月29日,10,11,18,24,26,29
第36回,2000年3月7日,04,08,15,16,21,25
第37回,2000年3月14日,06,07,10,16,31,20
第38回,2000年3月21日,11,16,17,19,31,04
第39回,2000年3月28日,01,09,15,26,30,11
第40回,2000年4月4日,04,16,24,25,27,05
第41回,2000年4月11日,10,16,19,22,26,29
第42回,2000年4月18日,02,05,19,24,31,28
第43回,2000年4月25日,03,06,11,16,30,05
第44回,2000年5月2日,05,18,20,25,27,11
第45回,2000年5月9日,07,13,19,24,26,11
第46回,2000年5月16日,02,10,22,23,26,06
第47回,2000年5月23日,02,06,08,17,29,10
第48回,2000年5月30日,02,09,11,13,31,18
第49回,2000年6月6日,10,13,14,23,25,12
第50回,2000年6月13日,04,05,06,08,10,26
第51回,2000年6月20日,05,07,15,16,31,02
第52回,2000年6月27日,04,10,12,26,31,20
第53回,2000年7月4日,04,13,14,15,17,30
第54回,2000年7月11日,04,05,15,18,21,16
第55回,2000年7月18日,04,10,11,18,31,03
第56回,2000年7月25日,01,03,07,10,27,16
第57回,2000年8月1日,03,21,23,27,29,13
第58回,2000年8月8日,01,02,04,10,24,20
第59回,2000年8月15日,09,15,20,21,22,10
第60回,2000年8月22日,16,17,22,23,26,30
第61回,2000年8月29日,09,23,24,29,30,05
第62回,2000年9月5日,05,10,13,17,29,06
第63回,2000年9月12日,03,05,06,22,28,01
第64回,2000年9月19日,05,10,11,12,23,15
第65回,2000年9月26日,08,09,10,17,23,15
第66回,2000年10月3日,05,06,12,17,20,01
第67回,2000年10月10日,04,05,08,14,27,06
第68回,2000年10月17日,05,06,21,22,24,11
第69回,2000年10月24日,05,06,09,23,30,02
第70回,2000年10月31日,01,05,07,17,21,15
第71回,2000年11月7日,11,17,18,22,30,02
第72回,2000年11月14日,08,10,24,28,30,12
第73回,2000年11月21日,04,06,08,26,30,07
第74回,2000年11月28日,04,06,16,22,28,09
第75回,2000年12月5日,07,14,16,17,29,01
第76回,2000年12月12日,06,11,13,16,23,03
第77回,2000年12月19日,02,03,10,22,26,23
第78回,2000年12月26日,04,11,19,20,22,28
第79回,2001年1月9日,02,13,16,26,30,11
第80回,2001年1月16日,07,10,13,18,22,04
第81回,2001年1月23日,01,07,10,16,25,18
第82回,2001年1月30日,01,03,11,27,30,08
第83回,2001年2月6日,01,06,11,23,26,03
第84回,2001年2月13日,01,15,29,30,31,16
第85回,2001年2月20日,09,11,14,20,29,02
第86回,2001年2月27日,02,08,13,20,24,09
