count,date,val1,val2,val3,val4,val5,val6,bornas
第1回,2000年10月5日,02,08,10,13,27,30,39
第2回,2000年10月12日,01,09,16,20,21,43,05
第3回,2000年10月19日,01,05,15,31,36,38,13
第4回,2000年10月26日,16,18,26,27,34,40,13
第5回,2000年11月2日,09,15,21,23,27,28,43
第6回,2000年11月9日,06,12,23,25,28,38,22
第7回,2000年11月16日,07,19,21,23,33,35,26
第8回,2000年11月23日,11,16,18,20,42,43,28
第9回,2000年11月30日,11,19,23,38,39,42,15
第10回,2000年12月7日,01,03,19,21,35,39,26
第11回,2000年12月14日,12,26,32,37,40,42,16
第12回,2000年12月21日,14,17,27,28,35,39,22
第13回,2000年12月28日,13,29,31,37,41,42,17
第14回,2001年1月4日,02,08,11,35,37,38,43
第15回,2001年1月11日,04,06,11,20,21,28,36
第16回,2001年1月18日,05,12,13,29,34,35,30
第17回,2001年1月25日,14,20,25,34,35,36,11
第18回,2001年2月1日,06,16,18,27,36,41,33
第19回,2001年2月8日,04,08,12,30,33,43,14
第20回,2001年2月15日,07,29,33,35,37,39,19
第1617回,2021年9月2日,02,19,21,24,26,41,23
第1618回,2021年9月6日,02,10,14,17,37,43,38
第1619回,2021年9月9日,03,05,17,20,24,38,13
第1620回,2021年9月13日,07,15,19,24,25,28,11
第1621回,2021年9月16日,03,10,22,23,26,39,01
第1622回,2021年9月20日,16,29,34,35,40,41,26
第1623回,2021年9月23日,07,12,15,17,19,29,22
第1624回,2021年9月27日,03,05,17,25,33,39,19
第1625回,2021年9月30日,01,04,08,11,30,42,09
第1617回,2021年9月2日,02,19,21,24,26,41,23
第1618回,2021年9月6日,02,10,14,17,37,43,38
第1619回,2021年9月9日,03,05,17,20,24,38,13
第1620回,2021年9月13日,07,15,19,24,25,28,11
第1621回,2021年9月16日,03,10,22,23,26,39,01
第1622回,2021年9月20日,16,29,34,35,40,41,26
第1623回,2021年9月23日,07,12,15,17,19,29,22
第1624回,2021年9月27日,03,05,17,25,33,39,19
第1625回,2021年9月30日,01,04,08,11,30,42,09
第1626回,2021年10月4日,09,11,19,23,30,43,27
第1627回,2021年10月7日,21,22,23,26,36,38,13
第1628回,2021年10月11日,01,03,10,12,26,42,13
第1629回,2021年10月14日,19,23,30,31,32,40,13
第1630回,2021年10月18日,10,11,24,33,34,36,42
第1631回,2021年10月21日,07,15,23,26,30,35,36
第1632回,2021年10月25日,01,09,24,28,31,41,02
第1633回,2021年10月28日,03,07,09,26,35,36,28
第1617回,2021年9月2日,02,19,21,24,26,41,23
第1618回,2021年9月6日,02,10,14,17,37,43,38
第1619回,2021年9月9日,03,05,17,20,24,38,13
第1620回,2021年9月13日,07,15,19,24,25,28,11
第1621回,2021年9月16日,03,10,22,23,26,39,01
第1622回,2021年9月20日,16,29,34,35,40,41,26
第1623回,2021年9月23日,07,12,15,17,19,29,22
第1624回,2021年9月27日,03,05,17,25,33,39,19
第1625回,2021年9月30日,01,04,08,11,30,42,09
第1626回,2021年10月4日,09,11,19,23,30,43,27
第1627回,2021年10月7日,21,22,23,26,36,38,13
第1628回,2021年10月11日,01,03,10,12,26,42,13
第1629回,2021年10月14日,19,23,30,31,32,40,13
第1630回,2021年10月18日,10,11,24,33,34,36,42
第1631回,2021年10月21日,07,15,23,26,30,35,36
第1632回,2021年10月25日,01,09,24,28,31,41,02
第1633回,2021年10月28日,03,07,09,26,35,36,28
第1634回,2021年11月1日,18,19,20,23,29,35,17
第1635回,2021年11月4日,04,08,19,32,36,43,30
第1636回,2021年11月8日,01,12,24,26,30,36,29
第1637回,2021年11月11日,02,03,11,16,27,36,29
第1638回,2021年11月15日,21,25,26,35,39,40,18
第1639回,2021年11月18日,05,09,13,20,26,32,28
第1640回,2021年11月22日,08,09,19,21,27,30,17
