,count,datetime,val1,val2,val3,val4
0,第1回,1994年10月7日,1,1,4,9
1,第2回,1994年10月14日,7,9,2,1
2,第3回,1994年10月21日,0,0,9,7
3,第4回,1994年10月28日,0,1,7,1
4,第5回,1994年11月4日,0,2,6,5
5,第6回,1994年11月11日,5,4,8,2
6,第7回,1994年11月18日,3,9,5,0
7,第8回,1994年11月25日,7,5,0,7
8,第9回,1994年12月2日,2,6,6,4
9,第10回,1994年12月9日,2,4,3,6
10,第11回,1994年12月16日,0,2,5,4
11,第12回,1994年12月23日,9,7,2,2
12,第13回,1994年12月30日,4,6,7,3
13,第14回,1995年1月6日,1,4,0,9
14,第15回,1995年1月10日,6,4,1,9
15,第16回,1995年1月13日,0,5,2,4
16,第17回,1995年1月17日,8,6,9,7
17,第18回,1995年1月20日,3,0,6,2
18,第19回,1995年1月24日,1,0,1,3
19,第20回,1995年1月27日,2,2,6,4
20,第21回,1995年1月31日,3,8,2,5
21,第22回,1995年2月3日,7,0,5,9
22,第23回,1995年2月7日,0,2,8,3
23,第24回,1995年2月10日,2,3,2,1
24,第25回,1995年2月14日,4,5,5,6
25,第26回,1995年2月17日,3,3,6,0
26,第27回,1995年2月21日,4,9,0,8
27,第28回,1995年2月24日,3,4,6,6
28,第29回,1995年2月28日,2,0,6,1
29,第30回,1995年3月3日,7,5,6,6
30,第31回,1995年3月7日,4,8,3,0
31,第32回,1995年3月10日,4,5,7,5
32,第33回,1995年3月14日,5,8,1,9
33,第34回,1995年3月17日,7,5,2,1
34,第35回,1995年3月21日,4,7,0,3
35,第36回,1995年3月24日,9,7,7,6
36,第37回,1995年3月28日,6,9,4,1
37,第38回,1995年3月31日,8,6,3,4
38,第39回,1995年4月4日,5,5,6,0
39,第40回,1995年4月7日,5,5,8,4
40,第41回,1995年4月11日,0,2,2,8
41,第42回,1995年4月14日,9,8,7,5
42,第43回,1995年4月18日,5,0,3,1
43,第44回,1995年4月21日,4,7,4,2
44,第45回,1995年4月25日,5,5,4,3
45,第46回,1995年4月28日,9,4,7,6
46,第47回,1995年5月2日,9,1,2,5
47,第48回,1995年5月5日,5,0,7,4
48,第49回,1995年5月9日,6,9,1,0
49,第50回,1995年5月12日,0,0,2,1
50,第51回,1995年5月16日,7,5,9,8
51,第52回,1995年5月19日,5,0,5,3
52,第53回,1995年5月23日,9,0,4,0
53,第54回,1995年5月26日,3,8,9,5
54,第55回,1995年5月30日,6,7,8,0
55,第56回,1995年6月2日,9,9,8,1
56,第57回,1995年6月6日,1,3,9,8
57,第58回,1995年6月9日,3,0,4,2
58,第59回,1995年6月13日,8,8,8,5
59,第60回,1995年6月16日,6,3,7,3
60,第61回,1995年6月20日,7,8,8,2
61,第62回,1995年6月23日,5,6,0,8
62,第63回,1995年6月27日,9,1,2,3
63,第64回,1995年6月30日,8,8,4,4
64,第65回,1995年7月4日,9,8,1,9
65,第66回,1995年7月7日,2,0,9,8
66,第67回,1995年7月11日,4,8,8,1
67,第68回,1995年7月14日,4,2,1,4
68,第69回,1995年7月18日,2,7,9,2
69,第70回,1995年7月21日,5,0,9,4
70,第71回,1995年7月25日,0,9,4,8
71,第72回,1995年7月28日,0,0,8,4
72,第73回,1995年8月1日,2,3,4,1
73,第74回,1995年8月4日,3,0,1,1
74,第75回,1995年8月8日,2,3,3,2
75,第76回,1995年8月11日,5,5,3,1
76,第77回,1995年8月15日,6,4,0,6
77,第78回,1995年8月18日,6,5,3,6
78,第79回,1995年8月22日,1,7,4,2
79,第80回,1995年8月25日,0,4,3,7
80,第81回,1995年8月29日,3,5,0,3
81,第82回,1995年9月1日,1,7,7,0
82,第83回,1995年9月5日,9,0,4,7
83,第84回,1995年9月8日,6,5,8,0
84,第85回,1995年9月12日,2,6,2,4
85,第86回,1995年9月15日,0,6,8,4
86,第87回,1995年9月19日,7,6,7,6
87,第88回,1995年9月22日,2,5,6,2
88,第89回,1995年9月26日,1,6,1,4
89,第90回,1995年9月29日,7,6,9,6
90,第91回,1995年10月3日,0,3,3,0
91,第92回,1995年10月6日,8,7,2,1
92,第93回,1995年10月10日,9,0,5,6
93,第94回,1995年10月13日,8,5,2,6
94,第95回,1995年10月17日,6,2,8,2
95,第96回,1995年10月20日,6,9,9,2
96,第97回,1995年10月24日,2,8,6,6
97,第98回,1995年10月27日,4,9,4,3
98,第99回,1995年10月31日,2,0,7,2
99,第100回,1995年11月3日,5,6,1,4
100,第101回,1995年11月7日,1,4,7,1
101,第102回,1995年11月10日,4,0,3,6
102,第103回,1995年11月14日,8,0,5,0
103,第104回,1995年11月17日,2,9,5,8
104,第105回,1995年11月21日,6,2,0,4
105,第106回,1995年11月24日,9,0,6,3
106,第107回,1995年11月28日,0,5,3,9
107,第108回,1995年12月1日,9,8,5,2
108,第109回,1995年12月5日,3,5,9,3
109,第110回,1995年12月8日,1,6,9,7
110,第111回,1995年12月12日,8,0,1,1
111,第112回,1995年12月15日,4,1,9,1
112,第113回,1995年12月19日,9,1,6,3
113,第114回,1995年12月22日,3,9,4,3
114,第115回,1995年12月26日,4,1,0,1
115,第116回,1995年12月29日,7,4,1,0
116,第117回,1996年1月5日,2,6,8,9
117,第118回,1996年1月9日,7,4,3,5
118,第119回,1996年1月12日,3,0,1,0
119,第120回,1996年1月16日,3,5,8,3
120,第121回,1996年1月19日,2,6,4,5
121,第122回,1996年1月23日,8,5,7,8
122,第123回,1996年1月26日,1,1,6,5
123,第124回,1996年1月30日,0,9,4,2
124,第125回,1996年2月2日,5,7,6,2
125,第126回,1996年2月6日,6,5,7,7
126,第127回,1996年2月9日,9,0,5,4
127,第128回,1996年2月13日,3,3,1,5
128,第129回,1996年2月16日,9,8,4,6
129,第130回,1996年2月20日,4,0,9,2
130,第131回,1996年2月23日,8,8,3,1
131,第132回,1996年2月27日,5,5,6,6
132,第133回,1996年3月1日,5,6,6,0
133,第134回,1996年3月5日,6,8,9,0
134,第135回,1996年3月8日,3,4,0,9
135,第136回,1996年3月12日,4,0,2,3
136,第137回,1996年3月15日,9,0,1,7
137,第138回,1996年3月19日,4,0,7,3
138,第139回,1996年3月22日,7,8,7,1
139,第140回,1996年3月26日,1,0,9,9
140,第141回,1996年3月29日,2,1,3,9
141,第142回,1996年4月2日,2,5,1,6
142,第143回,1996年4月5日,3,7,5,2
143,第144回,1996年4月9日,4,6,8,1
144,第145回,1996年4月12日,8,5,6,7
145,第146回,1996年4月16日,2,1,1,5
146,第147回,1996年4月19日,2,2,0,9
147,第148回,1996年4月23日,6,9,0,1
148,第149回,1996年4月26日,7,7,0,7
149,第150回,1996年4月30日,5,8,2,5
150,第151回,1996年5月3日,3,0,5,6
151,第152回,1996年5月7日,0,2,2,5
152,第153回,1996年5月10日,5,4,6,8
153,第154回,1996年5月14日,1,4,7,0
154,第155回,1996年5月17日,0,1,7,1
155,第156回,1996年5月21日,8,9,5,7
156,第157回,1996年5月24日,9,2,5,4
157,第158回,1996年5月28日,2,5,7,9
158,第159回,1996年5月31日,4,0,3,4
159,第160回,1996年6月4日,5,7,4,1
160,第161回,1996年6月7日,6,6,2,7
161,第162回,1996年6月11日,3,5,8,8
162,第163回,1996年6月14日,2,2,0,7
163,第164回,1996年6月18日,5,4,9,2
164,第165回,1996年6月21日,8,0,9,0
165,第166回,1996年6月25日,0,0,0,7
166,第167回,1996年6月28日,8,0,9,2
167,第168回,1996年7月2日,5,7,3,9
168,第169回,1996年7月5日,4,9,4,6
169,第170回,1996年7月9日,8,6,9,5
170,第171回,1996年7月12日,4,8,2,0
171,第172回,1996年7月16日,0,7,4,4
172,第173回,1996年7月19日,6,0,4,2
173,第174回,1996年7月23日,4,5,4,4
174,第175回,1996年7月26日,8,6,7,0
175,第176回,1996年7月30日,5,9,9,4
176,第177回,1996年8月2日,0,9,7,8
177,第178回,1996年8月6日,8,7,3,4
178,第179回,1996年8月9日,3,5,6,8
179,第180回,1996年8月13日,9,9,8,9
180,第181回,1996年8月16日,8,1,3,2
181,第182回,1996年8月20日,2,0,5,7
182,第183回,1996年8月23日,6,4,1,6
183,第184回,1996年8月27日,5,5,7,0
184,第185回,1996年8月30日,7,2,8,4
185,第186回,1996年9月3日,5,0,1,0
186,第187回,1996年9月6日,4,6,4,0
187,第188回,1996年9月10日,9,1,6,7
188,第189回,1996年9月13日,7,9,8,1
189,第190回,1996年9月17日,6,3,3,2
190,第191回,1996年9月20日,7,3,0,1
191,第192回,1996年9月24日,3,3,7,1
192,第193回,1996年9月27日,5,3,1,2
193,第194回,1996年10月1日,1,7,4,5
194,第195回,1996年10月4日,8,6,9,3
195,第196回,1996年10月8日,8,3,1,6
196,第197回,1996年10月11日,2,6,9,7
197,第198回,1996年10月15日,8,2,3,4
198,第199回,1996年10月18日,7,6,5,6
199,第200回,1996年10月22日,7,4,4,1
200,第201回,1996年10月25日,2,3,9,8
201,第202回,1996年10月29日,7,2,0,2
202,第203回,1996年11月1日,2,2,1,0
203,第204回,1996年11月5日,7,8,3,2
204,第205回,1996年11月8日,5,7,9,7
205,第206回,1996年11月12日,0,3,8,2
206,第207回,1996年11月15日,7,9,1,3
207,第208回,1996年11月19日,9,1,7,0
208,第209回,1996年11月22日,6,6,1,3
209,第210回,1996年11月26日,7,1,5,8
210,第211回,1996年11月29日,5,3,0,1
211,第212回,1996年12月3日,9,4,7,5
212,第213回,1996年12月6日,7,2,5,1
213,第214回,1996年12月10日,1,4,4,9
214,第215回,1996年12月13日,2,2,2,3
215,第216回,1996年12月17日,4,6,9,5
216,第217回,1996年12月20日,4,3,1,6
217,第218回,1996年12月24日,3,6,9,8
218,第219回,1996年12月27日,6,6,2,3
219,第220回,1997年1月7日,6,6,8,4
220,第221回,1997年1月10日,2,5,0,7
221,第222回,1997年1月14日,0,8,8,7
222,第223回,1997年1月17日,1,0,4,1
223,第224回,1997年1月21日,0,2,3,9
224,第225回,1997年1月24日,4,1,4,7
225,第226回,1997年1月28日,5,8,8,6
226,第227回,1997年1月31日,5,3,6,9
227,第228回,1997年2月4日,9,8,8,9
228,第229回,1997年2月7日,9,1,7,1
229,第230回,1997年2月11日,7,4,1,1
230,第231回,1997年2月14日,7,5,6,5
231,第232回,1997年2月18日,8,5,3,2
232,第233回,1997年2月21日,1,9,8,5
233,第234回,1997年2月25日,7,6,7,1
234,第235回,1997年2月28日,4,0,8,0
235,第236回,1997年3月4日,1,4,9,3
236,第237回,1997年3月7日,5,0,5,1
237,第238回,1997年3月11日,9,4,0,1
238,第239回,1997年3月14日,0,4,3,8
239,第240回,1997年3月18日,1,1,7,3
240,第241回,1997年3月21日,0,5,5,7
241,第242回,1997年3月25日,7,7,5,4
242,第243回,1997年3月28日,7,7,0,2
243,第244回,1997年4月1日,4,6,1,2
244,第245回,1997年4月4日,2,1,0,8
245,第246回,1997年4月8日,0,7,4,7
246,第247回,1997年4月11日,0,1,2,7
247,第248回,1997年4月15日,6,1,7,8
248,第249回,1997年4月18日,6,4,7,1
249,第250回,1997年4月22日,4,5,9,0
250,第251回,1997年4月25日,6,9,3,7
251,第252回,1997年4月29日,9,8,7,1
252,第253回,1997年5月2日,9,4,3,4
253,第254回,1997年5月6日,6,8,0,5
254,第255回,1997年5月9日,6,7,5,7
255,第256回,1997年5月13日,8,5,7,5
256,第257回,1997年5月16日,0,9,3,0
257,第258回,1997年5月20日,4,7,1,4
258,第259回,1997年5月23日,5,3,3,9
259,第260回,1997年5月27日,1,2,0,3
260,第261回,1997年5月30日,2,0,4,5
261,第262回,1997年6月3日,6,6,2,8
262,第263回,1997年6月6日,4,1,8,5
263,第264回,1997年6月10日,9,8,8,8
264,第265回,1997年6月13日,4,1,1,2
265,第266回,1997年6月17日,2,3,1,0
266,第267回,1997年6月20日,5,9,4,9
267,第268回,1997年6月24日,8,3,7,5
268,第269回,1997年6月27日,0,6,2,8
269,第270回,1997年7月1日,6,0,2,3
270,第271回,1997年7月4日,3,7,3,0
271,第272回,1997年7月8日,0,6,1,3
272,第273回,1997年7月11日,2,9,9,2
273,第274回,1997年7月15日,1,0,2,6
274,第275回,1997年7月18日,0,8,0,0
275,第276回,1997年7月22日,0,5,7,6
