count,date,val1,val2,val3,val4,val5,val6,val7,bornas1,bornas2
第1回,2013年4月5日,07,10,12,17,23,28,34,03,15
第2回,2013年4月12日,20,24,29,31,33,34,35,12,32
第3回,2013年4月19日,02,07,08,11,14,23,31,05,15
第4回,2013年4月26日,12,13,22,23,24,28,29,02,14
第5回,2013年5月3日,01,03,04,05,16,21,28,22,31
第6回,2013年5月10日,05,15,19,23,30,34,35,06,25
第7回,2013年5月17日,01,03,05,07,27,29,33,06,15
第8回,2013年5月24日,02,21,28,29,30,32,36,06,08
第9回,2013年5月31日,03,04,15,23,27,30,36,13,35
第10回,2013年6月7日,01,02,03,06,24,28,30,16,20
第11回,2013年6月14日,09,15,26,29,32,34,36,14,35
第12回,2013年6月21日,11,12,14,19,26,27,33,24,32
第13回,2013年6月28日,06,10,16,21,27,28,35,15,34
第14回,2013年7月5日,04,07,08,09,24,28,30,34,36
第15回,2013年7月12日,02,10,14,17,23,25,35,08,29
第16回,2013年7月19日,05,06,09,13,16,21,23,08,34
第17回,2013年7月26日,02,03,05,22,34,36,37,07,15
第18回,2013年8月2日,12,17,21,24,29,31,36,20,26
第19回,2013年8月9日,02,14,19,20,21,22,31,01,15
第20回,2013年8月16日,02,05,13,20,21,23,28,11,22
第21回,2013年8月23日,01,09,13,15,25,30,33,19,28
第22回,2013年8月30日,02,04,08,09,15,23,25,03,10
第23回,2013年9月6日,04,08,11,25,28,29,30,14,32
第24回,2013年9月13日,04,05,08,10,16,19,33,02,29
第25回,2013年9月20日,01,06,11,16,17,18,21,10,24
第26回,2013年9月27日,11,13,16,18,26,31,36,21,27
第27回,2013年10月4日,01,10,11,14,17,18,28,25,26
第28回,2013年10月11日,06,07,12,15,19,35,37,01,11
第29回,2013年10月18日,02,03,16,17,24,26,28,15,31
第30回,2013年10月25日,06,08,13,22,26,32,36,16,34
第31回,2013年11月1日,09,12,13,19,23,33,34,20,32
第32回,2013年11月8日,03,08,15,18,27,29,37,31,34
第33回,2013年11月15日,01,04,17,24,29,33,36,19,30
第34回,2013年11月22日,04,06,07,23,24,32,35,08,27
第35回,2013年11月29日,01,16,18,19,25,30,34,26,36
第36回,2013年12月6日,05,06,10,11,20,28,36,25,37
第37回,2013年12月13日,07,08,10,13,14,19,37,29,33
第38回,2013年12月20日,04,14,19,22,24,29,34,08,31
第39回,2013年12月27日,07,13,19,23,25,26,30,01,18
第40回,2014年1月10日,02,06,11,23,26,31,34,07,20
第41回,2014年1月17日,02,03,08,15,34,35,36,25,28
第42回,2014年1月24日,02,15,16,17,23,31,33,08,26
第43回,2014年1月31日,04,06,07,08,24,31,37,05,13
